Город,Средний оклад
Москва,167309
Санкт-Петербург,145181
Екатеринбург,127420
Киев,127073
Казань,123319
Новосибирск,120808
Минск,120726
Нижний Новгород,120283
Омск,118683
Пермь,115900
Самара,115000
Краснодар,114197
Ростов-на-Дону,106891
Томск,103881
Воронеж,90808
Алматы,70719
