Город,Процент вакансий
Другие,45.3
Москва,28.4
Санкт-Петербург,10.5
Новосибирск,2.5
Екатеринбург,2.4
Казань,2.2
Нижний Новгород,2.1
Краснодар,1.8
Ростов-на-Дону,1.7
Алматы,1.6
Воронеж,1.5
